num,trdar_cd_nm,lon,lat
479,방울내로9안길,126.9002297,37.5607969
480,백범로16길,126.9424791,37.5468785
481,성미산로11길,126.9158095,37.5641098
482,성미산로1길,126.9069122,37.5605809
483,성미산로32길,126.9235994,37.5634264
484,성산로4길,126.9086457,37.5635576
485,성지3길,126.9146143,37.5465078
486,숭문8길,126.9479208,37.5506337
487,숭문길,126.9460514,37.5502524
488,신촌로12길,126.9328849,37.5550404
489,신촌로28가길,126.9511351,37.5564935
490,신촌로30길,126.9294307,37.5574667
491,양화로11길,126.91491,37.5520737
492,양화로1길,126.9095359,37.5510293
493,양화진길,126.9123077,37.5472123
494,와우산로29가길,126.9266367,37.5540112
495,와우산로29길,126.9282194,37.5554309
496,와우산로3길,126.921513,37.545837
497,월드컵로10길,126.913442,37.5551324
498,월드컵로11길,126.9082176,37.5539279
499,월드컵로16길,126.9116049,37.5573527
500,월드컵로19길,126.9073104,37.5549895
501,월드컵로25길,126.9041813,37.557815
502,월드컵로36길,126.9045677,37.5676047
503,월드컵로7길,126.9087321,37.5523497
504,월드컵로8길,126.9145734,37.5533069
505,토정로37길,126.9459021,37.5418539
506,효창원로93길,126.9626153,37.548179
507,가로공원로58길,126.8248273,37.5324797
508,곰달래로10길,126.8375334,37.527874
509,곰달래로2길,126.8345101,37.5281216
510,곰달래로3길,126.832854,37.5316461
511,곰달래로5길,126.83168,37.5338522
512,남부순환로33길,126.8309939,37.5382535
513,남부순환로40길,126.8259497,37.5332835
514,남부순환로58길,126.8308772,37.5298965
515,남부순환로70길,126.8352166,37.521906
516,남부순환로79길,126.842573,37.5177882
517,남부순환로88길,126.8407678,37.5114184
518,목동남로4길,126.8676048,37.5092286
519,목동동로12길,126.8738458,37.5229444
520,목동동로8길,126.8715748,37.5165921
521,목동로19길,126.8616429,37.5247756
522,목동로9길,126.8621716,37.5227583
523,목동중앙남로3가길,126.8646396,37.5383328
524,목동중앙로13나길,126.8801704,37.5447404
525,목동중앙로3길,126.8685455,37.5378317
526,목동중앙본로7길,126.8673511,37.5394996
527,목동중앙북로16길,126.8728807,37.5437211
528,목동중앙북로8길,126.8664435,37.5456576
529,목동중앙서로7길,126.8660262,37.5336206
530,목동중앙서로8가길,126.8649288,37.5309542
531,신목로2길,126.8761665,37.5206554
532,신목로5길,126.8730296,37.5176196
533,신목로6길,126.874835,37.5204712
534,신월로15길,126.8415168,37.5197054
535,신월로20길,126.8457258,37.5186508
536,오목로23길,126.8503105,37.5265189
537,오목로30길,126.8541609,37.523087
538,오목로3길,126.8388323,37.5228295
539,오목로5길,126.8402518,37.5241155
540,은행정로5길,126.8571034,37.5210108
541,은행정로7길,126.8560131,37.5220119
542,중앙로25길,128.5450288,35.9451985
543,중앙로32길,126.8595449,37.5200903
544,중앙로36길,126.8571821,37.5195857
545,중앙로45길,126.8505263,37.5211119
546,중앙로47길,126.8500887,37.5186724
547,중앙로51길,128.4597064,35.7353395
548,중앙로55길,126.8455423,37.5261541
549,지양로7길,126.831837,37.5206539
550,화곡로3길,126.8273178,37.5411195
551,화곡로4길,126.8457053,37.5397
552,가로공원로76가길,126.8422665,37.5341837
553,가로공원로80길,126.8397284,37.5353861
554,강서로15길,126.8411845,37.5319236
555,강서로17가길,126.8439933,37.5342486
556,강서로18길,126.8497117,37.5345347
557,강서로29길,126.8388639,37.5386981
558,강서로35길,126.8361551,37.5426084
559,강서로45길,126.8318818,37.5493311
560,강서로45다길,126.8346037,37.5453003
561,강서로47길,126.8324547,37.5528485
562,강서로47라길,126.8325036,37.5516266
563,강서로5가길,126.8459484,37.529002
564,강서로5나길,126.8432118,37.5284251
565,강서로5라길,126.8546806,37.5299224
566,강서로8길,126.854067,37.5303471
567,개화동로23길,126.8086469,37.5661523
568,개화동로25길,126.8087572,37.5655031
569,곰달래로25길,126.8485417,37.532258
570,곰달래로31길,126.851339,37.5331138
571,곰달래로47길,126.8559932,37.5340046
572,곰달래로53길,126.8575182,37.5349296
573,곰달래로60길,126.8631051,37.5310029
574,공항대로38길,126.8423541,37.5570656
575,공항대로42길,126.8432682,37.5561094
576,공항대로55길,126.8610208,37.5545469
577,공항대로59길,126.8635009,37.5539967
578,공항대로59다길,126.8699096,37.5509356
579,공항대로61길,126.8662594,37.5523314
580,공항대로8길,126.8125134,37.5587399
581,국회대로7길,126.8551401,37.5295406
582,까치산로4길,126.8457053,37.5397
583,남부순환로11길,126.81476,37.5557435
584,등촌로13길,126.859804,37.5372175
585,등촌로39길,126.8603478,37.5461121
586,등촌로51길,126.8604727,37.5495684
587,등촌로55길,126.8620056,37.5501164
588,등촌로5길,126.8613846,37.533761
589,방화대로21길,126.8127391,37.5638421
590,방화대로6라길,126.8183559,37.5557394
591,양천로14길,126.8095916,37.5706654
592,양천로24가길,126.8140097,37.5716798
593,양천로24길,126.8150236,37.5703536
594,양천로26길,126.819582,37.5725018
595,양천로49길,126.8402943,37.5708471
596,양천로71길,126.8725258,37.5531206
597,양천로73가길,126.8745484,37.5503656
598,우장산로6길,126.8395024,37.5531696
599,월정로20길,126.8414148,37.5296287
600,초록마을로3길,126.8473123,37.5460177
601,초록마을로8길,126.848207,37.5401902
602,초원로16길,126.8070374,37.5676174
603,화곡로13길,126.8339001,37.544158
604,화곡로20길,126.8368861,37.5389674
605,화곡로31길,126.8409483,37.5442091
606,화곡로44나길,126.8496492,37.5487033
607,화곡로59길,126.8490312,37.5540363
608,화곡로64길,126.8563253,37.5562504
609,개봉로11길,126.8534866,37.4880546
610,개봉로17길,126.8531725,37.491798
611,개봉로17다길,126.8528651,37.4937545
612,개봉로1길,126.8524601,37.4835476
613,개봉로20길,126.8585243,37.4928382
614,개봉로23가길,126.8591417,37.495045
615,개봉로2길,126.8592013,37.4886029
616,개봉로3길,126.8521252,37.4855486
617,경인로15길,126.8377266,37.4962245
618,경인로31길,126.8502498,37.4997148
619,경인로35길,126.8530714,37.500545
620,경인로47길,126.8650633,37.502084
621,고척로21나길,126.8427736,37.5026411
622,고척로27길,126.8459784,37.5050297
623,고척로27다길,126.8485856,37.5056137
624,고척로52길,126.8559195,37.502174
625,공원로6가길,126.8905398,37.5029877
626,구로동로15길,126.8866342,37.482976
627,구로동로28길,126.887632,37.4917548
628,구로동로38길,126.8835685,37.494916
629,구로동로41길,126.8812639,37.4943588
630,구로동로42길,126.8836958,37.4978521
631,구로동로7길,126.883461,37.4859597
632,구로동로8길,126.8869466,37.4877428
633,구로중앙로19길,126.8882967,37.4938811
634,구로중앙로28길,126.8872629,37.4995852
635,구로중앙로34길,126.8854768,37.5011055
636,구로중앙로42길,126.8775021,37.5099305
637,구로중앙로7길,126.8907183,37.4909859
638,구로중앙로8길,126.8929822,37.4925765
639,남부순환로97길,126.8589972,37.4939194
640,도림로12길,126.8890549,37.4867217
641,도림로6길,126.8867244,37.4851213
642,디지털로27길,126.8902836,37.4841056
643,디지털로32가길,126.8975472,37.4811371
644,디지털로32길,126.8993211,37.4837235
645,부일로11길,126.8308325,37.495679
646,부일로15길,126.8330298,37.4943019
647,부일로1길,126.8191554,37.4933739
648,새말로18길,126.8922812,37.5035555
649,신도림로13길,126.8799866,37.5101387
650,오류로8길,126.8452594,37.4929369
651,우마길,126.8882575,37.4814612
652,중앙로15길,126.8547438,37.5074571
653,중앙로1길,126.9024386,37.480287
654,가산로3길,126.8914582,37.4721072
655,가산로5길,126.8918356,37.473557
656,금하로14길,126.9038145,37.4518093
657,금하로1길,126.8910694,37.45353
658,금하로24길,126.9087504,37.4484721
659,남부순환로112길,126.8937309,37.4772941
660,독산로108길,126.9065128,37.4796435
661,독산로40길,126.9076563,37.4609837
662,독산로50길,126.9092995,37.4620301
663,독산로64길,126.905516,37.4661597
664,독산로70길,126.9048111,37.4675247
665,독산로78다길,126.9054882,37.4698006
666,독산로85길,126.9021582,37.4723136
667,문성로5길,126.9050001,37.4783102
668,범안로11길,126.8911737,37.4680761
669,범안로17길,126.8937169,37.4680863
670,벚꽃로56길,126.8845978,37.482747
671,시흥대로120길,126.9001857,37.4687061
672,시흥대로138길,126.899362,37.4723054
673,시흥대로141길,126.8975726,37.475232
674,시흥대로150길,126.9007077,37.47636
675,시흥대로153길,126.8952629,37.4768068
